kind_code,target,delta,realization,W3_reconstructed,min_patch_overlap,c0,c1,c2,c3,c4,c5
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,2.600000000000000000e+01,9.979949971393532460e-01,3.303491230171445858e-01,-2.473268094880212986e-01,6.711256893576841853e-02,-5.521589422506973932e-01,-4.498513530623935580e-02,-3.928709753974960250e+00,-4.519005203119569325e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,2.700000000000000000e+01,9.972596563904663203e-01,3.236380060113281942e-01,1.210840085224513807e+00,8.443007239594841895e-01,5.148704844631200039e-01,1.392406440921167610e+00,-1.127959468241881646e+00,1.890900035185222761e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,2.800000000000000000e+01,9.972196656348477628e-01,3.284669473847124377e-01,-2.683431497536692065e-02,1.604236500647950425e+00,3.182746040048536201e-02,9.337200960360765301e-01,-3.872085429535169765e-01,8.535555479679853841e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,2.900000000000000000e+01,9.971536631542243789e-01,3.287694457708067453e-01,-4.436029886665682209e-01,-6.403208763919643332e-01,3.601807070257714849e-01,-2.107680151743772434e+00,4.350124886577800831e-01,-1.447081875945915641e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00,9.977872443284606652e-01,3.255055555124254374e-01,4.666182603176881050e-01,8.537966283618745322e-01,-3.262155797599753937e-01,-8.517328369026635482e-01,-1.518143048551326091e+00,-1.061961256650132190e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,1.000000000000000000e+00,9.978478714631234814e-01,3.229198473084979870e-01,6.434310341156713742e-01,1.304606114445800713e-01,3.824033140698362282e-02,4.425187304174529879e-01,-1.752080621158356832e+00,3.522184483006544076e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,2.000000000000000000e+00,9.979363194556182259e-01,3.361922304442833687e-01,-6.518559474727434466e-01,1.327216740472044965e+00,-1.318205048286474668e+00,1.707496848992333671e-01,-2.001054537143410972e+00,3.891189344787082671e-02
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,3.000000000000000000e+00,9.974083776155077130e-01,3.338338236697102612e-01,-6.246291162180844792e-01,-1.060809955167727026e+00,-4.461794046817632586e-01,-1.030191736800832425e+00,-6.533484940299885690e-02,-1.413380997382801763e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,4.000000000000000000e+00,9.974165058599341327e-01,3.301071744896739157e-01,-4.524163346367017224e-01,5.058150255468031320e-01,2.021463433985756439e-02,-3.157911095782901967e+00,-3.345610986256935537e-01,-5.300196745651082342e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,5.000000000000000000e+00,9.972936463557441344e-01,3.264892884896342107e-01,7.961903539503182303e-01,3.451423728368415156e-01,-1.209975890415660338e+00,1.529560667142711994e+00,-5.818857305846820704e-01,-9.540361598641178276e-02
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,6.000000000000000000e+00,9.968645462070764296e-01,3.296391761544339438e-01,-8.199158550568913517e-02,-2.015756011036327067e+00,-1.638115915269194589e-01,3.029982941252201689e-01,6.863199324295221615e-01,6.304125196180376811e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,7.000000000000000000e+00,9.971475111964770432e-01,3.298976022683662301e-01,-1.688092584694216303e-01,-1.512707304896028893e+00,-2.994778533820359814e-02,-6.211814016433799823e-01,3.105549870546810975e-01,3.543898742134612423e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000000e+00,9.967387876156525994e-01,3.185580775522958707e-01,1.011051984392568936e+00,-8.684860110735324046e-01,4.192388425837659249e-02,1.299048736272024329e-01,6.086813942326509963e-01,-2.817007429670834520e-02
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,9.000000000000000000e+00,9.966151626498287452e-01,3.164865100133924525e-01,5.093987019435619601e-01,4.335075429154754412e-01,1.808846981989663316e+00,4.622010801531417079e-01,6.377772852478921228e-01,-1.188616109248918917e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,1.000000000000000000e+01,9.980044747353512546e-01,3.275178584628691825e-01,-2.163460393020023853e-01,-2.282594125260739293e-01,5.014195470343023597e-01,-3.814524437014459313e-01,-9.098219427286819982e-01,5.316093405820190299e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,1.100000000000000000e+01,9.977505217850650698e-01,3.369198034374197293e-01,-3.247873403467682607e-01,5.554614247191074217e-01,-1.107303592413949600e+00,9.889755897220969816e-01,-9.142399429942202893e-01,5.522389681459073385e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,1.200000000000000000e+01,9.972801316146383543e-01,3.315622051721321406e-01,-7.049357811891581171e-01,-4.335291448628451061e-01,4.880488551438665334e-01,-3.481675645575457723e-01,6.011159269303818775e-02,1.008217833923805262e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,1.300000000000000000e+01,9.964716191586592275e-01,3.297106426644298427e-01,3.017855894965681407e-01,1.296591207309467642e-01,-1.167873176383527944e+00,-1.747858295171559051e-01,1.102414452870341455e+00,-1.369801826853960902e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,1.400000000000000000e+01,9.971201467652039963e-01,3.270130423301786382e-01,1.849232264290667505e-01,-3.299099041805207966e-01,-2.016944412690014621e-01,3.724713952585306798e-01,5.840074504651916742e-02,-1.722446560946524485e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,1.500000000000000000e+01,9.964567412467675300e-01,3.250100982683969963e-01,4.941301889860761354e-01,-1.720223822715844841e+00,-3.903664628672525172e-01,-9.862282220969408042e-02,1.511518191353796503e+00,6.890460202418529079e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,1.600000000000000000e+01,9.973144431850715641e-01,3.176978995100886993e-01,1.391858844965877307e+00,-3.208464547821071045e-01,4.346449191309856297e-01,7.348124284803733142e-01,-9.056643270851169047e-01,3.368634730758793827e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,1.700000000000000000e+01,9.971792877656306953e-01,3.368087864799452213e-01,-5.122787743324425103e-01,-6.151667860792765508e-01,-9.082661198448066520e-01,1.272334178082451084e+00,2.260540003482567339e-01,2.712478300170055312e-01
