kind_code,target,readout_flip_probability,shots_per_setting,settings_per_parameter_point,shots_per_parameter_point,equatorial_points_per_family,total_equatorial_shots_per_family,realization,W3_clean_grid,W3_reconstructed,min_patch_overlap,projector_distance_rms,mean_subspace_fidelity,nearest_integer,parity_margin_to_half_integer,parity_error,integer_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,5.100000000000000000e+01,9.583340180861273927e-01,8.076450182896789398e-01,1.623353197786694957e-01,2.133120657927063957e-01,9.544979625872480611e-01,1.000000000000000000e+00,3.076450182896789398e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,5.200000000000000000e+01,9.583340180861273927e-01,8.149746971784710414e-01,1.503702856564483326e-01,2.191414183834717311e-01,9.519770387488801777e-01,1.000000000000000000e+00,3.149746971784710414e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,5.300000000000000000e+01,9.583340180861273927e-01,7.913824986354797142e-01,1.539701126879826354e-01,2.162846878050832811e-01,9.532209338210577698e-01,1.000000000000000000e+00,2.913824986354797142e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,5.400000000000000000e+01,9.583340180861273927e-01,8.025938025318154478e-01,1.617343655150166315e-01,2.122389556838946145e-01,9.549546256902097241e-01,1.000000000000000000e+00,3.025938025318154478e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,5.500000000000000000e+01,9.583340180861273927e-01,7.367346666252767573e-01,1.633482301683688021e-01,2.149845835353508261e-01,9.537816288421318012e-01,1.000000000000000000e+00,2.367346666252767573e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,5.600000000000000000e+01,9.583340180861273927e-01,7.876304557483483348e-01,1.614732770619645152e-01,2.178247048870530223e-01,9.525523979408683228e-01,1.000000000000000000e+00,2.876304557483483348e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,5.700000000000000000e+01,9.583340180861273927e-01,6.824812190372631093e-01,1.873065875170200900e-01,2.202164758213169538e-01,9.515047037768393778e-01,1.000000000000000000e+00,1.824812190372631093e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,5.800000000000000000e+01,9.583340180861273927e-01,7.799469688029501135e-01,2.114278982190590794e-01,2.172020491139910747e-01,9.528232698606834417e-01,1.000000000000000000e+00,2.799469688029501135e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,5.900000000000000000e+01,9.583340180861273927e-01,7.408815321571863288e-01,1.761274260959931059e-01,2.168179152716749603e-01,9.529899916172447361e-01,1.000000000000000000e+00,2.408815321571863288e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,6.000000000000000000e+01,9.583340180861273927e-01,7.657725511948335617e-01,1.447438823591692958e-01,2.156295607266703884e-01,9.535038925408232391e-01,1.000000000000000000e+00,2.657725511948335617e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,6.100000000000000000e+01,9.583340180861273927e-01,7.241563177798328033e-01,1.422839847711066252e-01,2.198570866287140879e-01,9.516628614591340352e-01,1.000000000000000000e+00,2.241563177798328033e-01,0.000000000000000000e+00,0.000000000000000000e+00
