flux,total_charge_right,A_charge_right,B_charge_right;T=100.0
3.680555555555555802e-01,-7.840246263131511739e-03,1.600149447762433397e-04,1.475702852835126144e+00
3.694444444444444642e-01,-8.258757921734805052e-03,1.530303109786856908e-04,1.480380938681752134e+00
3.708333333333333481e-01,-8.744081201490949695e-03,1.352821501816592331e-04,1.485077250322398790e+00
3.722222222222222321e-01,-9.265439500503624970e-03,1.052185033740826725e-04,1.489836577577043464e+00
3.736111111111111160e-01,-9.790486952907961893e-03,6.253611715134610449e-05,1.494663626205235296e+00
3.750000000000000000e-01,-1.028412324172922609e-02,8.990170781153494772e-06,1.499513221067178215e+00
3.763888888888888840e-01,-1.070908167988715576e-02,-5.129734669484520282e-05,1.504309197601807035e+00
3.777777777777777679e-01,-1.102903526967224934e-02,-1.121990546870677008e-04,1.508984792974963796e+00
3.791666666666667074e-01,-1.121361565905409918e-02,-1.665382723547992327e-04,1.513524712951859641e+00
3.805555555555555913e-01,-1.124371763550602310e-02,-2.073615202400347357e-04,1.517986368384657503e+00
3.819444444444444753e-01,-1.111525174845695574e-02,-2.291662542948103010e-04,1.522487204096622193e+00
3.833333333333333592e-01,-1.084015786057168640e-02,-2.287798924447415061e-04,1.527162130126741069e+00
3.847222222222222432e-01,-1.044461390664874756e-02,-2.057401832198380021e-04,1.532110843731484984e+00
3.861111111111111271e-01,-9.965368885610281779e-03,-1.621982947179745338e-04,1.537360593059498903e+00
